Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,HPMS,HS USB,Multi-Mode UART,RCOSC_50MHZ
CORERISCV_AXI4_0/ChiselTop0/uncore/PLIC_1/acq/Primitives,29,67,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/PRCI_1/Primitives,192,129,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/PRCI_1/acq/Primitives,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Primitives,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_18_1/Primitives,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_19_1/Primitives,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_20_1/Primitives,10,85,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_21_1/Primitives,26,135,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/Queue_22_1/Primitives,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/ROMSlave_1/Primitives,311,59,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/ROMSlave_1/acq/Primitives,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/TileLinkRecursiveInterconnect_1_1/xbar/ClientUncachedTileLinkIORouter_1_1/Primitives,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/TileLinkRecursiveInterconnect_1_1/xbar/ClientUncachedTileLinkIORouter_1_1/gnt_arb/Primitives,284,7,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/xbar/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CLIENT_UNCACHED_TILE_LINK_IO_ROUTER_1/Primitives,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/TileLinkRecursiveInterconnect_2/xbar/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CLIENT_UNCACHED_TILE_LINK_IO_ROUTER_1/gnt_arb/Primitives,47,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/ClientTileLinkIOUnwrapper_1/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/ClientTileLinkIOUnwrapper_1/acqArb/Primitives,235,5,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/ClientTileLinkIOUnwrapper_1/acqRoq/Primitives,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/ClientTileLinkIOUnwrapper_1/relRoq/Primitives,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_NASTI_IO_TILE_LINK_IO_CONVERTER_1/Primitives,61,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/outmemsys/PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_NASTI_IO_TILE_LINK_IO_CONVERTER_1/gnt_arb/Primitives,81,3,0,0,0,0,0,0,0,0,0,0,0,0,0
