
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_Rx_async_0s_0s_0s_1s_2s_3s, 41, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 23, 5, 0, 0, 0, 0, 0, 0
.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_24576_0_2s_5s_34s_2s, 5456, 9998, 1064, 0, 2, 8, 8, 1, 0
.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CORE_RISC_VAHB_TOP, 5456, 9998, 1064, 0, 2, 8, 8, 1, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_COREPLEX_LOCAL_INTERRUPTER_CLINT, 129, 96, 192, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_DEBUG_TRANSPORT_MODULE_JTAG, 168, 205, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_CHAIN, 32, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN, 32, 34, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN_1, 41, 78, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_JTAG_BYPASS_CHAIN, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_JTAG_TAP_CONTROLLER, 15, 35, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_CAPTURE_UPDATE_CHAIN_2, 5, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_JTAG_STATE_MACHINE, 4, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_VEC_90, 4, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_68, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_MIV_RV32IMA_L1_AHB_0_MIV_RV32IMA_L1_AHB_ASYNC_RESET_REG_2_69, 1, 1, 0, 0, 0, 0, 0, 0, 0
